title,description,url,content,category,tokens,topic
Apple Vision Pro arrives in new countries and regions beginning June 28 - Apple,"Apple Vision Pro will be available in Australia, Canada, China mainland, France, Germany, Hong Kong, Japan, Singapore, and the U.K. in June.",https://www.apple.com/newsroom/2024/06/apple-vision-pro-arrives-in-new-countries-and-regions-beginning-june-28/,"June 10, 2024
PRESS RELEASE
Apple Vision Pro arrives in new countries and regions beginning June 28
Customers in China mainland, Hong Kong, Japan, and Singapore can pre-order Apple Vision Pro on J… [+14799 chars]",technology,"['june', '10', '2024', 'press', 'release', 'apple', 'vision', 'pro', 'arrives', 'new', 'countries', 'regions', 'beginning', 'june', '28', 'customers', 'china', 'mainland', 'hong', 'kong', 'japan', 'singapore', 'apple', 'vision', 'pro', 'chars']",technology
Microsoft confirms 3 new Xbox consoles for 2024 — here's all the upgrades - Tom's Guide,Xbox could steal the PS5 Pro’s spotlight with new hardware of its own,https://www.tomsguide.com/gaming/xbox/microsoft-confirms-3-new-xbox-consoles-for-2024-heres-what-we-know,"New console hardware is on the horizon and while much of the focus has been placed on the (currently unannounced) PS5 Pro and Nintendo Switch 2, Microsoft is hoping to tempt players to enter the Xbox… [+2924 chars]",technology,"['new', 'console', 'hardware', 'horizon', 'much', 'focus', 'placed', 'currently', 'unannounced', 'ps5', 'pro', 'nintendo', 'switch', '2', 'microsoft', 'hoping', 'tempt', 'players', 'enter', 'chars']",technology
"2024 U.S. Open odds, predictions, picks: Scottie Scheffler projection from golf model that hit last two majors - CBS Sports","Scottie Scheffler, the No. 1 player in world golf, will seek his third career major championship in the 2024 U.S. Open at Pinehurst No. 2",https://www.cbssports.com/golf/news/2024-u-s-open-odds-predictions-picks-scottie-scheffler-projection-from-golf-model-that-hit-last-two-majors/,"After an eventful PGA Championship on and off the course, Scottie Scheffler got back to his dominant ways by tying for second at the Charles Schwab Challenge and winning the Memorial Tournament. The … [+7306 chars]",sports,"['eventful', 'pga', 'championship', 'course', 'scottie', 'scheffler', 'got', 'back', 'dominant', 'ways', 'tying', 'second', 'charles', 'schwab', 'challenge', 'winning', 'memorial', 'tournament', 'chars']",sports
"USMNT, its sights on Copa América, braces for friendly vs Brazil - The Washington Post","The U.S. men’s national soccer team will face five-time world champion Brazil in a friendly in Orlando, the last test before Copa América begins later this month.",https://www.washingtonpost.com/sports/2024/06/11/usmnt-brazil-friendly-copa-america/,"ORLANDO Gregg Berhalter says his mission remains steady, even after a bruising and embarrassing defeat over the weekend and renewed calls from a furious fan base for his sacking.
The U.S. mens natio… [+4217 chars]",sports,"['orlando', 'gregg', 'berhalter', 'says', 'mission', 'remains', 'steady', 'even', 'bruising', 'embarrassing', 'defeat', 'weekend', 'renewed', 'calls', 'furious', 'fan', 'base', 'sacking', 'mens', 'chars']",sports
Kyrie tells 'hermano' Luka: 'I got to play better' - ESPN,Kyrie Irving said he told teammate Luka Doncic that he has to play better after averaging just 14 points in the first two games of the NBA Finals.,https://www.espn.com/nba/story/_/id/40328203/got-play-better,"DALLAS -- The blame for the Dallas Mavericks being down 2-0 in the NBA Finals begins with Kyrie Irving.
Irving made that clear during a conversation with his co-star Luka Doncic in the wake of the M… [+2602 chars]",sports,"['dallas', 'blame', 'dallas', 'mavericks', 'nba', 'finals', 'begins', 'kyrie', 'irving', 'irving', 'made', 'clear', 'conversation', 'luka', 'doncic', 'wake', 'chars']",sports
Kristaps Porzingis has 'rare' leg injury; NBA Finals status uncertain - ESPN,"Celtics center Kristaps Porzingis suffered what the team called a ""rare injury"" to his left leg and is considered day-to-day for the remainder of the NBA Finals.",https://www.espn.com/nba/story/_/id/40328074/kristaps-porzingis-rare-leg-injury-nba-finals-status-uncertain,"Celtics center Kristaps Porzingis suffered what the team called a ""rare injury"" to his left leg and is considered day-to-day for Boston's upcoming games in the NBA Finals.
The Celtics announced Tues… [+4261 chars]",sports,"['celtics', 'center', 'kristaps', 'porzingis', 'suffered', 'team', 'called', 'rare', 'injury', 'left', 'leg', 'considered', 'boston', 'upcoming', 'games', 'nba', 'finals', 'celtics', 'announced', 'chars']",sports
"Luka Dončić reportedly had pain-killing injection ahead of NBA Finals Game 2, likely needs another for Game 3 - Yahoo Sports",Dončić had the injection to address his thoracic contusion.,https://sports.yahoo.com/luka-doncic-reportedly-had-pain-killing-injection-ahead-of-nba-finals-game-2-likely-needs-another-for-game-3-182312561.html,"Dallas Mavericks star Luka Doni had a pain-killing injection ahead of Game 2 of the NBA Finals against the Boston Celtics to address his thoracic contusion, ESPN reported Tuesday.
He's expected to n… [+2191 chars]",sports,"['dallas', 'mavericks', 'star', 'luka', 'doni', 'injection', 'ahead', 'game', '2', 'nba', 'finals', 'boston', 'celtics', 'address', 'thoracic', 'contusion', 'espn', 'reported', 'tuesday', 'expected', 'chars']",sports
3 Observations: Bolts Defense Comes Up Clutch in Red Zone - Chargers.com,The Bolts defense denied the offense a touchdown on three straight red-zone plays during Day 1 of mandatory minicamp,https://www.chargers.com/news/minicamp-practice-justin-herbert-jim-harbaugh,,sports,[],sports
Travis Kelce: I'm gonna keep going until the wheels come off - NBC Sports,"Tight end Travis Kelce has had a lot going on away from the football field in recent years, but he's not ready for that to become the main focus of his life.",https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/travis-kelce-im-gonna-keep-going-until-the-wheels-come-off,"Tight end Travis Kelce has had a lot going on away from the football field in recent years, but hes not ready for that to become the main focus of his life. 
Kelce said at a Tuesday press conference… [+955 chars]",sports,"['tight', 'end', 'travis', 'kelce', 'lot', 'going', 'away', 'football', 'field', 'recent', 'years', 'hes', 'ready', 'become', 'main', 'focus', 'life', 'kelce', 'said', 'tuesday', 'press', 'chars']",sports
J.T. Realmuto to have right knee surgery - MLB.com,,https://www.mlb.com/news/j-t-realmuto-right-knee-surgery,,sports,[],sports
Mets Designate Tomás Nido For Assignment - MLB Trade Rumors,"The Mets announced that catcher Francisco Alvarez has been reinstated from the 10-day injured list, with fellow backstop Tomás Nido &hellip;",https://www.mlbtraderumors.com/2024/06/mets-designate-tomas-nido-for-assignment.html,"The Mets announced that catcher Francisco Alvarez has been reinstated from the 10-day injured list, with fellow backstop Tomás Nido designated for assignment in a corresponding move.
Alvarez tore th… [+2885 chars]",sports,"['mets', 'announced', 'catcher', 'francisco', 'alvarez', 'reinstated', 'injured', 'list', 'fellow', 'backstop', 'tomás', 'nido', 'designated', 'assignment', 'corresponding', 'move', 'alvarez', 'tore', 'chars']",sports
Joey Chestnut is out of 2024 Nathan's hot dog eating contest in beef over vegan franks - New York Post ,"A rep for Major League Eating,  which Nathan’s sanctions to run the event, said the organizers bent over backwards to meet Chestnut’s various other demands.",https://nypost.com/2024/06/11/business/joey-chestnut-banned-from-2024-nathans-hot-dog-eating-contest/,"This hot dog news from Coney Island is hard to swallow.
Joey Chestnut, perennial winner of the annual July 4th Nathans Hot Dog Eating Competition, is out of this years beef barf over a deal he made … [+2199 chars]",sports,"['hot', 'dog', 'news', 'coney', 'island', 'hard', 'swallow', 'joey', 'chestnut', 'perennial', 'winner', 'annual', 'july', '4th', 'nathans', 'hot', 'dog', 'eating', 'competition', 'years', 'beef', 'barf', 'deal', 'made', 'chars']",sports
Tiger Woods prepares for 1st appearance at U.S. Open since 2020 - ESPN,Tiger Woods said he likes the weather conditions at this year's U.S. Open and thinks his body is good enough to compete and win.,https://www.espn.com/golf/story/_/id/40327505/tiger-woods-prepares-1st-appearance-us-open-2019,"PINEHURST, N.C. -- Tiger Woods, who last made the cut at the U.S. Open in 2019, said Tuesday that he likes that this week's tournament will be played in Florida-like heat, which will help his surgica… [+5146 chars]",sports,"['pinehurst', 'tiger', 'woods', 'last', 'made', 'cut', 'open', '2019', 'said', 'tuesday', 'likes', 'week', 'tournament', 'played', 'heat', 'help', 'chars']",sports
Florida Panthers: Aleksander Barkov injury update - Miami Herald,,https://www.miamiherald.com/sports/nhl/florida-panthers/article289172589.html,,sports,[],sports
College World Series Preview: Breaking down FSU Baseball's seven opponents in Omaha - 247Sports,,https://247sports.com/college/florida-state/longformarticle/mens-college-world-series-preview-florida-state-seminoles-fsu-baseball--232759364/,,sports,[],sports
Ranking all 30 NBA head coaching jobs right now: Why Lakers are near bottom and Dan Hurley was right to say no - CBS Sports,Los Angeles has a below-average coaching job to offer,https://www.cbssports.com/nba/news/ranking-all-30-nba-head-coaching-jobs-right-now-why-lakers-are-near-bottom-and-dan-hurley-was-right-to-say-no/,"When Dan Hurley passed on the Los Angeles Lakers, it sparked a debate about the job that the NBA's marquee franchise was actually offering. The Laker brand remains strong, but, in practical terms, is… [+36589 chars]",sports,"['dan', 'hurley', 'passed', 'los', 'angeles', 'lakers', 'sparked', 'debate', 'job', 'nba', 'marquee', 'franchise', 'actually', 'offering', 'laker', 'brand', 'remains', 'strong', 'practical', 'terms', 'chars']",sports
ESPN announces remainder of 2024 SEC football schedule - Southeastern Conference,"ESPN has released the approximate start times for the remainder of the 2024 SEC football season, with all SEC games exclusively on ABC and ESPN platforms for the first time.",https://www.secsports.com/news/2024/06/espn-announces-remainder-of-2024-sec-football-schedule,"ESPN has released the approximate start times for the remainder of the 2024 SEC football season, with all SEC games exclusively on ABC and ESPN platforms for the first time.",sports,"['espn', 'released', 'approximate', 'start', 'times', 'remainder', '2024', 'sec', 'football', 'season', 'sec', 'games', 'exclusively', 'abc', 'espn', 'platforms', 'first', 'time']",sports
"Amari Cooper skips day 1 of Browns camp, Kevin Stefanski comments after practice - Dawgs By Nature",An unexpected development at Browns minicamp,https://www.dawgsbynature.com/2024/6/11/24176169/amari-cooper-browns-minicamp-contract,"All is not peaceful for the Cleveland Browns as mandatory minicamp kicks off. Shortly before day one of minicamp opened, it was expected that the entire Browns roster would be in attendance. With tha… [+1386 chars]",sports,"['peaceful', 'cleveland', 'browns', 'mandatory', 'minicamp', 'kicks', 'shortly', 'day', 'one', 'minicamp', 'opened', 'expected', 'entire', 'browns', 'roster', 'would', 'attendance', 'chars']",sports
"Aaron Rodgers Skips Jets' Mandatory Minicamp for Previous Engagement, Subject to Fine - Bleacher Report",,https://news.google.com/rss/articles/CBMigAFodHRwczovL2JsZWFjaGVycmVwb3J0LmNvbS9hcnRpY2xlcy8xMDEyNDM1NS1hYXJvbi1yb2RnZXJzLXNraXBzLWpldHMtbWFuZGF0b3J5LW1pbmljYW1wLWZvci1wcmV2aW91cy1lbmdhZ2VtZW50LXN1YmplY3QtdG8tZmluZdIBkAFodHRwczovL3N5bmRpY2F0aW9uLmJsZWFjaGVycmVwb3J0LmNvbS9hbXAvMTAxMjQzNTUtYWFyb24tcm9kZ2Vycy1za2lwcy1qZXRzLW1hbmRhdG9yeS1taW5pY2FtcC1mb3ItcHJldmlvdXMtZW5nYWdlbWVudC1zdWJqZWN0LXRvLWZpbmUuYW1wLmh0bWw?oc=5,,sports,[],sports
ESPN No. 7 prospect Thomas goes to Overtime Elite - ESPN,"Meleek Thomas, the No. 7 basketball prospect in ESPN's class of 2025, is leaving Lincoln Park Performing Arts High School in Pittsburgh to sign with Overtime Elite.",https://www.espn.com/mens-college-basketball/story/_/id/40326937/espn-no-7-prospect-thomas-goes-elite,"Meleek Thomas, the No. 7 basketball prospect in ESPN's class of 2025, is leaving Lincoln Park Performing Arts High School in Pittsburgh to sign with Overtime Elite, he told ESPN on Tuesday.
""I did e… [+2816 chars]",sports,"['meleek', 'thomas', '7', 'basketball', 'prospect', 'espn', 'class', '2025', 'leaving', 'lincoln', 'park', 'performing', 'arts', 'high', 'school', 'pittsburgh', 'sign', 'overtime', 'elite', 'told', 'espn', 'tuesday', 'chars']",sports
Rahm says foot infection 'a concern' at U.S. Open - ESPN,"Jon Rahm said the foot infection that forced him to withdraw from last week's LIV Golf tournament in Houston is ""a concern"" headed into this week's U.S. Open at Pinehurst.",https://www.espn.com/golf/story/_/id/40326934/jon-rahm-says-foot-infection-concern-ahead-us-open,"PINEHURST, N.C. -- Jon Rahm walked into the U.S. Open news conference room Tuesday with a golf shoe on his right foot, a flip-flop on his left foot, complete with a toe separator.
The two-time major… [+2194 chars]",sports,"['pinehurst', 'jon', 'rahm', 'walked', 'open', 'news', 'conference', 'room', 'tuesday', 'golf', 'shoe', 'right', 'foot', 'left', 'foot', 'complete', 'toe', 'separator', 'chars']",sports
Randy Gregory is an unexcused absence from Bucs mandatory minicamp - NBC Sports,"Left tackle Tristan Wirfs reported to the Buccaneers' facility for the start of their mandatory minicamp on Tuesday, but another veteran member of the team decided not to join him at the workout.",https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/randy-gregory-is-an-unexcused-absence-from-bucs-mandatory-minicamp,"Left tackle Tristan Wirfs reported to the Buccaneers facility for the start of their mandatory minicamp on Tuesday, but another veteran member of the team decided not to join him at the workout. 
Ed… [+479 chars]",sports,"['left', 'tackle', 'tristan', 'wirfs', 'reported', 'buccaneers', 'facility', 'start', 'mandatory', 'minicamp', 'tuesday', 'another', 'veteran', 'member', 'team', 'decided', 'join', 'workout', 'chars']",sports
Elon Musk drops suit against OpenAI and Sam Altman - CNBC,"Elon Musk withdrew his lawsuit against OpenAI, Sam Altman and Greg Brockman on Tuesday in California state court.",https://www.cnbc.com/2024/06/11/elon-musk-drops-suit-against-openai-and-sam-altman.html,"Elon Musk on Tuesday withdrew his lawsuit against OpenAI and two of the company's co-founders, Sam Altman and Greg Brockman, in California state court. In February, Musk had filed a lawsuit for breac… [+2023 chars]",business,"['elon', 'musk', 'tuesday', 'withdrew', 'lawsuit', 'openai', 'two', 'company', 'sam', 'altman', 'greg', 'brockman', 'california', 'state', 'court', 'february', 'musk', 'filed', 'lawsuit', 'chars']",business
"Stock market news for June 11, 2024 - CNBC",The moves come after a muted but important day on the Street.,https://www.cnbc.com/2024/06/10/stock-market-today-live-updates.html,"The S&amp;P 500 and the Nasdaq Composite rose to fresh closing records on Tuesday, led upward by Apple as the iPhone maker surged to an all-time high.
The broad market index gained 0.27%, closing at… [+2069 chars]",business,"['amp', 'p', '500', 'nasdaq', 'composite', 'rose', 'fresh', 'closing', 'records', 'tuesday', 'led', 'upward', 'apple', 'iphone', 'maker', 'surged', 'high', 'broad', 'market', 'index', 'gained', 'closing', 'chars']",technology
Shari Redstone Ends Talks With Skydance About Paramount Merger: Report - Variety,Shari Redstone has reportedly walked away from a deal that would have merged Paramount Global with David Ellison's Skydance Media.,https://variety.com/2024/biz/news/paramount-skydance-ends-talks-shari-redstone-1236027264/,"After more than six months of on-again-off-again talks, Shari Redstone has ended negotiations with David Ellison‘s Skydance Media about a prospective merger with Paramount Global.
Redstone is Paramo… [+3882 chars]",business,"['six', 'months', 'talks', 'shari', 'redstone', 'ended', 'negotiations', 'david', 'ellison', 'skydance', 'media', 'prospective', 'merger', 'paramount', 'global', 'redstone', 'chars']",business
Apple Call Volume Hits Highest Since 2021 as Shares Reach Record - Yahoo Finance,(Bloomberg) -- The number of call options traded in Apple Inc. hit its highest level since 2021 as shares rebounded from a Monday slump to touch a fresh all-...,https://finance.yahoo.com/news/apple-call-volume-hits-highest-191745171.html,"(Bloomberg) -- The number of call options traded in Apple Inc. hit its highest level since 2021 as shares rebounded from a Monday slump to touch a fresh all-time high.
Most Read from Bloomberg
The … [+1516 chars]",business,"['bloomberg', 'number', 'call', 'options', 'traded', 'apple', 'hit', 'highest', 'level', 'since', '2021', 'shares', 'rebounded', 'monday', 'slump', 'touch', 'fresh', 'high', 'read', 'bloomberg', 'chars']",technology
"GM lowers EV production targets amid slow demand, says EVs will show 'variable profit' - Detroit Free Press",,https://www.freep.com/story/money/cars/general-motors/2024/06/11/gm-electric-vehicles-production-demand/74055964007/,,business,[],business
"Nvidia Stock Split Might Not Lead To Sustained Rally, But It Could Replace Intel In Dow Index - Yahoo Finance",,https://finance.yahoo.com/news/nvidia-stock-split-might-not-180445889.html,"If you click 'Accept all', we and our partners, including 238 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",business,"['click', 'partners', 'including', '238', 'part', 'iab', 'transparency', 'amp', 'consent', 'framework', 'also', 'store', 'access', 'information', 'device', 'words', 'use', 'chars']",business
Jackpot! Club claims $842 million Powerball prize in Grand Blanc - WJRT,The Breakfast Club won the $842 million Powerball jackpot on New Year's Day with a ticket purchased at the Food Castle in Grand Blanc Township.,https://www.abc12.com/news/lottery/jackpot-club-claims-842-million-powerball-prize-in-grand-blanc/article_4ec35fa0-27f3-11ef-a1e3-b3a53eb843dd.html,"The Breakfast Club won the $842 million Powerball jackpot on New Year's Day with a ticket purchased at the Food Castle in Grand Blanc Township.
GRAND BLANC TOWNSHIP, Mich. (WJRT) - A six-month myste… [+3930 chars]",business,"['breakfast', 'club', '842', 'million', 'powerball', 'jackpot', 'new', 'year', 'day', 'ticket', 'purchased', 'food', 'castle', 'grand', 'blanc', 'township', 'grand', 'blanc', 'township', 'wjrt', 'chars']",business
"Buc-ee's opens largest store spanning 75,000 square feet with 120 gas pumps - Fox Business","A newly-opened Buc-ee’s is living up to the saying that everything’s bigger in Texas, sprawling over 75,000 square feet. It has become the travel center chain's largest location.",https://www.foxbusiness.com/lifestyle/buc-ees-opens-largest-store-spanning-75000-square-feet-120-gas-pumps,"A newly opened Buc-ee’s is living up to the saying that everything’s bigger in Texas. 
The new travel center, which officially opened for business on Monday, sprawls over 75,000 square feet in Lulin… [+2089 chars]",business,"['newly', 'opened', 'living', 'saying', 'everything', 'bigger', 'texas', 'new', 'travel', 'center', 'officially', 'opened', 'business', 'monday', 'sprawls', 'square', 'feet', 'chars']",business
"Cryptocurrencies fall as investors await Fed decision, bitcoin dips under $67,000 - CNBC",Cryptocurrencies slumped on Tuesday as bitcoin extended its recent slide and investors awaited the Federal Reserve's next rate decision.,https://www.cnbc.com/2024/06/11/cryptocurrencies-fall-as-investors-await-fed-decision-bitcoin-dips-under-67000.html,"Cryptocurrencies slumped on Tuesday as bitcoin extended its recent slide and investors awaited the Federal Reserve's next rate decision.
The price of bitcoin was last lower by 3% at $67,582.34, acco… [+2021 chars]",business,"['cryptocurrencies', 'slumped', 'tuesday', 'bitcoin', 'extended', 'recent', 'slide', 'investors', 'awaited', 'federal', 'reserve', 'next', 'rate', 'decision', 'price', 'bitcoin', 'last', 'lower', '3', 'chars']",business
"Rent prices are stagnating, suggesting high inflation may stick around - Fox Business","A new report published by Realtor.com found that decreases in rental prices slowed in May, which could mean that inflation will remain elevated this year.",https://www.foxbusiness.com/economy/rent-prices-stagnating-suggesting-high-inflation-may-stick-around,"Once-rapid declines in rental prices are stalling out, a sign that high inflation could be here to stay. 
A new report published by Realtor.com shows that rents declined for the 10th straight month … [+2834 chars]",business,"['declines', 'rental', 'prices', 'stalling', 'sign', 'high', 'inflation', 'could', 'stay', 'new', 'report', 'published', 'shows', 'rents', 'declined', '10th', 'straight', 'month', 'chars']",business
[Removed],[Removed],https://removed.com,[Removed],business,['removed'],business
Raytheon sued for age discrimination in hiring practices - The Washington Post,The AARP Foundation filed a lawsuit on behalf of a 67-year-old Virginia resident who applied to many positions at Raytheon but never received an interview.,https://www.washingtonpost.com/business/2024/06/11/raytheon-age-discrimination/,"A 67-year-old Virginia man sued Raytheon on Tuesday for age discrimination, claiming that the aerospace giant illegally favors recent college graduates over older workers in its hiring process.
The … [+4539 chars]",business,"['virginia', 'man', 'sued', 'raytheon', 'tuesday', 'age', 'discrimination', 'claiming', 'aerospace', 'giant', 'illegally', 'favors', 'recent', 'college', 'graduates', 'older', 'workers', 'hiring', 'process', 'chars']",business
Germany launches 11th-hour bid to avert trade war with China - POLITICO Europe,Germany wants the EU to set tariffs on electric vehicles at a low level to avoid severe retaliation from Beijing.,https://www.politico.eu/article/france-germany-conflict-eu-chinese-ev-electric-vehicle-duties/,"As long as individual member states are kind of played off each other like that, that is very much in Beijings interest and suits their interests more than European interest writ large, Jacob Gunter,… [+1672 chars]",business,"['long', 'individual', 'member', 'states', 'kind', 'played', 'like', 'much', 'beijings', 'interest', 'suits', 'interests', 'european', 'interest', 'writ', 'large', 'jacob', 'gunter', 'chars']",business
Is AMD Stock a Buy After Following Nvidia's Footsteps? - The Motley Fool,"Advanced Micro Devices is releasing new AI chips annually, following the annual cadence Nvidia announced late last year.",https://www.fool.com/investing/2024/06/11/is-amd-stock-a-buy-after-following-nvidias-footste/,"Advanced Micro Devices is releasing new AI chips annually, following the annual cadence Nvidia announced late last year.In today's video, I discuss recent updates impacting Advanced Micro Devices(AMD… [+219 chars]",business,"['advanced', 'micro', 'devices', 'releasing', 'new', 'ai', 'chips', 'annually', 'following', 'annual', 'cadence', 'nvidia', 'announced', 'late', 'last', 'today', 'video', 'discuss', 'recent', 'updates', 'impacting', 'advanced', 'micro', 'devices', 'chars']",technology
